Référence du modèle;Désignation;Segment;Sous famille;PVP;P.Vente ;Dispatch Mag ;CITY SPORT;GO SPORT;COURIR;DESTOCK
B74494;VS PACE;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW MEN;55;B;A;X;X;;
BC0524;TERREX AX3;CHAUSSURES;ADIDAS OUTDOOR FTW MEN;110;B;A;;X;;
AJ8995;BUCKET HAT AC;ACCESSOIRES;ORIGINALS ACC HW ALL;28;B;A;X;;X;X
EE6999;OZWEEGO;CHAUSSURES;ORIGINALS FTW MEN;130;B;A;X;;X;X
EF5398;SUPERSTAR J;CHAUSSURES;ORIGINALS FTW KIDS;75;C;A;X;;X;X
EF5399;SUPERSTAR J;CHAUSSURES;ORIGINALS FTW KIDS;75;B;A;X;;X;X
EG2656;STRUTTER;CHAUSSURES;SPORTSWEAR FTW MEN;70;B;A;X;X;;
FU7712;SUPERSTAR J;CHAUSSURES;ORIGINALS FTW KIDS;75;C;A;X;;X;X
FU7713;SUPERSTAR J;CHAUSSURES;ORIGINALS FTW KIDS;75;A;A;X;;X;X
FV0834;TERREX SUMRA;CHAUSSURES;ADIDAS OUTDOOR FTW MEN;60;A;A;;X;;
FW9327;TERREX TRAILMAKER R.RDY K;CHAUSSURES;RANDONNEE/CAMPING;90;C;A;;X;;
FX3611;CORERACER;CHAUSSURES;SPORTSWEAR FTW WOMEN;55;C;A;X;X;;
FX3631;ULTIMASHOW;CHAUSSURES;SPORTSWEAR FTW MEN;55;B;A;X;X;;
FX3632;ULTIMASHOW;CHAUSSURES;SPORTSWEAR FTW MEN;55;A;A;X;X;;X
BB5476;GAZELLE;CHAUSSURES;ORIGINALS FTW MEN;110;B;A;X;;X;X
FX5119;MULTIX;CHAUSSURES;SPORTSWEAR FTW MEN;90;C;A;X;X;;
FX5500;STAN SMITH;CHAUSSURES;ORIGINALS FTW MEN;100;B;A;X;;X;X
FX5501;STAN SMITH;CHAUSSURES;ORIGINALS FTW MEN;100;C;A;X;;X;X
BB5478;GAZELLE;CHAUSSURES;ORIGINALS FTW MEN;110;A;A;X;;X;X
FX7519;STAN SMITH J;CHAUSSURES;ORIGINALS FTW KIDS;75;B;A;X;;X;X
FX7521;STAN SMITH J;CHAUSSURES;ORIGINALS FTW KIDS;75;B;A;X;;X;X
FX7522;STAN SMITH J;CHAUSSURES;ORIGINALS FTW KIDS;75;B;A;X;;X;X
FY7755;FORUM LOW;CHAUSSURES;ORIGINALS BASKETBALL FTW MEN;110;B;A;X;;X;X
FY7756;FORUM LOW;CHAUSSURES;ORIGINALS BASKETBALL FTW MEN;110;C;A;X;;X;X
FY7757;FORUM LOW;CHAUSSURES;ORIGINALS BASKETBALL FTW MEN;110;C;A;X;;X;X
DA9997;VS PACE;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW MEN;55;C;A;X;X;;
FY7974;FORUM LOW J;CHAUSSURES;ORIGINALS BASKETBALL FTW KIDS;95;C;A;X;;X;X
FY9494;RUNFALCON 2.0 K;CHAUSSURES;ADIDAS CORE SPORT FTW KIDS;40;C;A;X;X;;
FY9495;RUNFALCON 2.0 K;CHAUSSURES;ADIDAS CORE SPORT FTW KIDS;40;C;A;X;X;;
FY9496;RUNFALCON 2.0 K;CHAUSSURES;ADIDAS CORE SPORT FTW KIDS;40;C;A;X;X;;
FY9504;BREAKNET K;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW KIDS;45;B;A;X;X;;
FY9506;BREAKNET K;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW KIDS;45;B;A;X;X;;
FY9507;BREAKNET K;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW KIDS;45;B;A;X;X;;
FZ0106;BREAKNET C;CHAUSSURES;SPORTSWEAR FTW KIDS;45;B;A;X;X;;
FZ0961;RUN 60s 2.0;CHAUSSURES;SPORTSWEAR FTW MEN;60;B;A;X;X;;
FZ2247;NY 90;CHAUSSURES;ADIDAS ORIGINALS FTW MEN;90;B;A;X;;X;
FZ3577;RUNFALCON 2.0 TR;CHAUSSURES;ADIDAS CORE SPORT FTW MEN;65;B;A;X;X;;
FZ4681;Ligra 7 Kids;CHAUSSURES;OTHER SPECIALTY SPORTS FTW ALL;55;B;A;;X;;
FZ6253;FORUM LOW;CHAUSSURES;ORIGINALS BASKETBALL FTW MEN;100;A;A;X;;X;
GH4474;TIRO21 TK JKT;TEXTILE;FOOTBALL/SOCCER;50;B;A;X;X;;
GS8797;W SL T;TEXTILE;ADIDAS CORE SPORT APP WOMEN;20;A;A;X;;;
GU0277;30Y BOS CLX CL;TEXTILE;ADIDAS SWIM APP MEN;35;B;A;;X;;
GV8012;MULTIX W;CHAUSSURES;ADIDAS ORIGINALS FTW WOMEN;80;B;A;X;;;
GV9556;RUNFALCON 2.0;CHAUSSURES;RUNNING FTW MEN;55;B;A;X;X;;
GV9559;RUNFALCON 2.0;CHAUSSURES;RUNNING FTW MEN;55;B;A;X;X;;
GV9569;RUNFALCON 2.0;CHAUSSURES;ADIDAS CORE SPORT FTW WOMEN;55;B;A;X;X;;
GW0440;HOOPS 3.0 CF I;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW KIDS;40;B;A;X;X;;
GW0822;ADILETTE COMFORT;CHAUSSURES;ADIDAS CORE FTW SLIDES ALL;48;B;A;X;X;;
