ZONE;Pays;Type Entité;Catégorie Entité;Code Entité;Enseigne;Dispatch Mag ;Poids repartition (PVP Base article) ;Date debut ;Date fin ;Devise;Taux € / Devise;Taux TVA;;;;;;
ILES ;RÉUNION;Magasin;Sport;0301;CITY SPORT;A;1,06%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0306;CITY SPORT;A;0,86%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0308;COURIR;A;0,52%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0314;COURIR;A;0,30%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0315;COURIR;A;0,82%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0316;COURIR;A;1,02%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0317;GO SPORT;A;0,32%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0321;GO SPORT;A;0,66%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0322;COURIR;A;0,24%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0323;COURIR;A;0,65%;01/01/2022;31/12/2099;€;1;20;;;;;;
ILES ;RÉUNION;Magasin;Sport;0399;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;€;1;20;;;;;;
MGH;TUNISIE;Magasin;Sport;0603;CITY SPORT;A;0,62%;01/01/2022;31/12/2099;TND;3,37;18;;;;;;
MGH;TUNISIE;Magasin;Sport;0604;CITY SPORT;A;0,34%;01/01/2022;31/12/2099;TND;3,37;18;;;;;;
MGH;TUNISIE;Magasin;Sport;0605;CITY SPORT;A;0,48%;01/01/2022;31/12/2099;TND;3,37;18;;;;;;
MGH;TUNISIE;Magasin;Sport;0606;CITY SPORT;A;1,42%;01/01/2022;31/12/2099;TND;3,37;18;;;;;;
MGH;TUNISIE;Magasin;Sport;0607;CITY SPORT;A;0,34%;01/01/2022;31/12/2099;TND;3,37;18;;;;;;
MGH;TUNISIE;Magasin;Sport;0608;CITY SPORT;A;0,59%;01/01/2022;31/12/2099;TND;3,37;18;;;;;;
