EAN;Référence;Magasin;Date_dispo;Quantité;;
4059811988546;B75807;9914;14/04/2024;55;;
4059811988546;B75807;9999;14/04/2024;55;;
4059811988546;B75807;9917;14/04/2024;31;;
4059811988546;B75807;9998;14/04/2024;15;;
4059811988546;B75807;1508;14/04/2024;15;;
4059811988546;B75807;1120;15/03/2024;17;;
4059811988546;B75807;1107;15/03/2024;14;;
4059811988546;B75807;1118;15/03/2024;14;;
4059811988546;B75807;0643;14/04/2024;13;;
4059811988546;B75807;0645;14/04/2024;12;;
4059811988546;B75807;0606;14/04/2024;11;;
4059811988546;B75807;0636;14/04/2024;11;;
4059811988546;B75807;1134;15/03/2024;10;;
4059811988546;B75807;1102;15/03/2024;10;;
4059811988546;B75807;0720;24/02/2024;9;;
4059811988546;B75807;0701;24/02/2024;9;;
4059811988546;B75807;0703;24/02/2024;8;;
4059811988546;B75807;0301;24/02/2024;8;;
4059811988546;B75807;1230;14/04/2024;8;;
4059811988546;B75807;0316;24/02/2024;8;;
4059811988546;B75807;1115;15/03/2024;7;;
4059811988546;B75807;9995;25/03/2024;7;;
4059811988546;B75807;0705;24/02/2024;7;;
4059811988546;B75807;1130;15/03/2024;7;;
4059811988546;B75807;0632;14/04/2024;7;;
4059811988546;B75807;1312;25/03/2024;7;;
4059811988546;B75807;0306;24/02/2024;6;;
4059811988546;B75807;1806;25/03/2024;6;;
4059811988546;B75807;1203;14/04/2024;6;;
4059811988546;B75807;0706;24/02/2024;7;;
4059811988546;B75807;0315;24/02/2024;7;;
4059811988546;B75807;1313;25/03/2024;7;;
4059811988546;B75807;1216;14/04/2024;7;;
4059811988546;B75807;1608;25/03/2024;7;;
4059811988546;B75807;1213;14/04/2024;7;;
4059811988546;B75807;9994;25/03/2024;6;;
4059811988546;B75807;0651;14/04/2024;6;;
4059811988546;B75807;9996;25/03/2024;6;;
4059811988546;B75807;9993;25/03/2024;6;;
4059811988546;B75807;1202;14/04/2024;6;;
4059811988546;B75807;1821;25/03/2024;6;;
4059811988546;B75807;0323;24/02/2024;6;;
4059811988546;B75807;0603;14/04/2024;5;;
4059811988546;B75807;0608;14/04/2024;5;;
4059811988546;B75807;0704;24/02/2024;5;;
4059811988546;B75807;1634;25/03/2024;5;;
4059811988546;B75807;0308;24/02/2024;5;;
4059811988546;B75807;1607;25/03/2024;4;;
4059811988546;B75807;0656;14/04/2024;4;;
4059811988546;B75807;0605;14/04/2024;4;;
4059811988546;B75807;1214;14/04/2024;4;;
4059811988546;B75807;1809;25/03/2024;4;;
4059811988546;B75807;0652;14/04/2024;4;;
4059811988546;B75807;0721;24/02/2024;4;;
4059811988546;B75807;1218;14/04/2024;3;;
4059811988546;B75807;1215;14/04/2024;3;;
4059811988546;B75807;0604;14/04/2024;3;;
4059811988546;B75807;0607;14/04/2024;3;;
4059811988546;B75807;0699;14/04/2024;3;;
4059811988546;B75807;1206;14/04/2024;3;;
4059811988546;B75807;1211;14/04/2024;3;;
4059811988546;B75807;0314;24/02/2024;3;;
4059811988546;B75807;1204;14/04/2024;3;;
4059811988546;B75807;1201;14/04/2024;3;;
4059811988546;B75807;1229;14/04/2024;2;;
4059811988546;B75807;0322;24/02/2024;2;;
4059811988546;B75807;0702;24/02/2024;2;;
4059811988515;B75807;9914;14/04/2024;38;;
4059811988515;B75807;9999;14/04/2024;38;;
4059811988515;B75807;9917;14/04/2024;22;;
4059811988515;B75807;1120;15/03/2024;12;;
4059811988515;B75807;1508;14/04/2024;11;;
4059811988515;B75807;9998;14/04/2024;11;;
4059811988515;B75807;1107;15/03/2024;10;;
4059811988515;B75807;1118;15/03/2024;10;;
4059811988515;B75807;0643;14/04/2024;9;;
4059811988515;B75807;0645;14/04/2024;8;;
4059811988515;B75807;0606;14/04/2024;7;;
4059811988515;B75807;0636;14/04/2024;7;;
4059811988515;B75807;1134;15/03/2024;7;;
4059811988515;B75807;1102;15/03/2024;7;;
4059811988515;B75807;0720;24/02/2024;6;;
4059811988515;B75807;0701;24/02/2024;6;;
4059811988515;B75807;0703;24/02/2024;6;;
4059811988515;B75807;0301;24/02/2024;5;;
4059811988515;B75807;1230;14/04/2024;5;;
4059811988515;B75807;0316;24/02/2024;5;;
4059811988515;B75807;1115;15/03/2024;5;;
4059811988515;B75807;9995;25/03/2024;5;;
4059811988515;B75807;0632;14/04/2024;5;;
4059811988515;B75807;0705;24/02/2024;5;;
4059811988515;B75807;1130;15/03/2024;5;;
4059811988515;B75807;1312;25/03/2024;4;;
4059811988515;B75807;0306;24/02/2024;4;;
4059811988515;B75807;1806;25/03/2024;4;;
4059811988515;B75807;1203;14/04/2024;4;;
4059811988515;B75807;0706;24/02/2024;5;;
4059811988515;B75807;1313;25/03/2024;5;;
4059811988515;B75807;0315;24/02/2024;5;;
4059811988515;B75807;1216;14/04/2024;5;;
4059811988515;B75807;1608;25/03/2024;5;;
4059811988515;B75807;1213;14/04/2024;5;;
4059811988515;B75807;9994;25/03/2024;4;;
4059811988515;B75807;0651;14/04/2024;4;;
4059811988515;B75807;9993;25/03/2024;4;;
4059811988515;B75807;9996;25/03/2024;4;;
4059811988515;B75807;1202;14/04/2024;4;;
4059811988515;B75807;1821;25/03/2024;4;;
4059811988515;B75807;0323;24/02/2024;4;;
